"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","IMMIGINFLOW","FAM","NBR","A","2003",40105,
"AUS","IMMIGINFLOW","FAM","NBR","A","2004",42187,
"AUS","IMMIGINFLOW","FAM","NBR","A","2005",43747,
"AUS","IMMIGINFLOW","FAM","NBR","A","2006",45943,
"AUS","IMMIGINFLOW","FAM","NBR","A","2007",48769,
"AUS","IMMIGINFLOW","FAM","NBR","A","2008",50680,
"AUS","IMMIGINFLOW","FAM","NBR","A","2009",56477,
"AUS","IMMIGINFLOW","FAM","NBR","A","2010",59453,
"AUS","IMMIGINFLOW","FAM","NBR","A","2011",54708,
"AUS","IMMIGINFLOW","FAM","NBR","A","2012",58604,
"AUS","IMMIGINFLOW","FAM","NBR","A","2013",60185,
"AUS","IMMIGINFLOW","FAM","NBR","A","2014",61112,
"AUS","IMMIGINFLOW","FAM","NBR","A","2015",61085,
"AUS","IMMIGINFLOW","FAM","NBR","A","2016",60912,
"AUS","IMMIGINFLOW","FAM","NBR","A","2017",59620,
"AUS","IMMIGINFLOW","FAM","NBR","A","2018",49726,
"AUS","IMMIGINFLOW","FAM","NBR","A","2019",50495,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2003",30166.243,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2004",38200,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2005",40739,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2006",46444,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2007",49268,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2008",55145,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2009",63127.35,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2010",61376.892,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2011",57563,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2012",66069,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2013",65923,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2014",67015,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2015",68292,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2016",67815,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2017",66750,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2018",61053,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2019",59038,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2003",16364.418,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2004",18716.596,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2005",22379.197,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2006",23780.822,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2007",28307.255,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2008",34490.935,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2009",33034,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2010",24447,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2011",34567,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2012",44304,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2013",41230,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2014",27274,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2015",23365,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2016",19661,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2017",12552,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2018",14137,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2019",13906.051,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2003",10187,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2004",12046,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2005",17528,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2006",16964,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2007",14158,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2008",11729,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2009",14854,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2010",14553,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2011",13976,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2012",13759,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2013",20019,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2014",13768,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2015",13756,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2016",17555,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2017",21968,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2018",16250,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2019",18762,
"AUS","IMMIGINFLOW","OTH","NBR","A","2003",2424,
"AUS","IMMIGINFLOW","OTH","NBR","A","2004",2191,
"AUS","IMMIGINFLOW","OTH","NBR","A","2005",1772,
"AUS","IMMIGINFLOW","OTH","NBR","A","2006",1618,
"AUS","IMMIGINFLOW","OTH","NBR","A","2007",1755,
"AUS","IMMIGINFLOW","OTH","NBR","A","2008",1571,
"AUS","IMMIGINFLOW","OTH","NBR","A","2009",1839,
"AUS","IMMIGINFLOW","OTH","NBR","A","2010",2168,
"AUS","IMMIGINFLOW","OTH","NBR","A","2011",2502,
"AUS","IMMIGINFLOW","OTH","NBR","A","2012",2658,
"AUS","IMMIGINFLOW","OTH","NBR","A","2013",4004,
"AUS","IMMIGINFLOW","OTH","NBR","A","2014",338,
"AUS","IMMIGINFLOW","OTH","NBR","A","2015",238,
"AUS","IMMIGINFLOW","OTH","NBR","A","2016",308,
"AUS","IMMIGINFLOW","OTH","NBR","A","2017",421,
"AUS","IMMIGINFLOW","OTH","NBR","A","2018",236,
"AUS","IMMIGINFLOW","OTH","NBR","A","2019",115,
"AUS","IMMIGINFLOW","WORK","NBR","A","2003",26615.757,
"AUS","IMMIGINFLOW","WORK","NBR","A","2004",36650,
"AUS","IMMIGINFLOW","WORK","NBR","A","2005",41154,
"AUS","IMMIGINFLOW","WORK","NBR","A","2006",45057,
"AUS","IMMIGINFLOW","WORK","NBR","A","2007",49648,
"AUS","IMMIGINFLOW","WORK","NBR","A","2008",52323,
"AUS","IMMIGINFLOW","WORK","NBR","A","2009",51649.65,
"AUS","IMMIGINFLOW","WORK","NBR","A","2010",46491.108,
"AUS","IMMIGINFLOW","WORK","NBR","A","2011",56162,
"AUS","IMMIGINFLOW","WORK","NBR","A","2012",59686,
"AUS","IMMIGINFLOW","WORK","NBR","A","2013",63050,
"AUS","IMMIGINFLOW","WORK","NBR","A","2014",61535,
"AUS","IMMIGINFLOW","WORK","NBR","A","2015",59482,
"AUS","IMMIGINFLOW","WORK","NBR","A","2016",60735,
"AUS","IMMIGINFLOW","WORK","NBR","A","2017",56817,
"AUS","IMMIGINFLOW","WORK","NBR","A","2018",50046,
"AUS","IMMIGINFLOW","WORK","NBR","A","2019",50675,
"AUT","IMMIGINFLOW","FAM","NBR","A","2003",29786,
"AUT","IMMIGINFLOW","FAM","NBR","A","2004",27903,
"AUT","IMMIGINFLOW","FAM","NBR","A","2005",29014,
"AUT","IMMIGINFLOW","FAM","NBR","A","2006",12885,
"AUT","IMMIGINFLOW","FAM","NBR","A","2007",11348,
"AUT","IMMIGINFLOW","FAM","NBR","A","2008",10274,
"AUT","IMMIGINFLOW","FAM","NBR","A","2009",9649,
"AUT","IMMIGINFLOW","FAM","NBR","A","2010",10634,
"AUT","IMMIGINFLOW","FAM","NBR","A","2011",9710,
"AUT","IMMIGINFLOW","FAM","NBR","A","2012",10057,
"AUT","IMMIGINFLOW","FAM","NBR","A","2013",9601,
"AUT","IMMIGINFLOW","FAM","NBR","A","2014",9671,
"AUT","IMMIGINFLOW","FAM","NBR","A","2015",9466,
"AUT","IMMIGINFLOW","FAM","NBR","A","2016",8947,
"AUT","IMMIGINFLOW","FAM","NBR","A","2017",8515,
"AUT","IMMIGINFLOW","FAM","NBR","A","2018",7744,
"AUT","IMMIGINFLOW","FAM","NBR","A","2019",8496,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2003",411,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2004",305,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2005",339,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2006",316,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2007",386,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2008",505,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2009",400,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2010",427,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2011",243,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2012",642,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2013",772,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2014",930,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2015",1078,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2016",979,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2017",1094,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2018",1543,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2019",2013,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2003",14483,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2004",18809,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2005",19362,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2006",11717,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2007",27511,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2008",32170,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2009",29870,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2010",29251,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2011",38224,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2012",50937,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2013",50499,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2014",57516,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2015",70901,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2016",59625,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2017",57928,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2018",56798,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2019",57495,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2003",3760,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2004",7359,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2005",5890,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2006",5147,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2007",7002,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2008",5539,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2009",4982,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2010",4749,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2011",5757,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2012",4099,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2013",4920,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2014",7563,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2015",15803,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2016",30570,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2017",25586,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2018",15020,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2019",7425,
"AUT","IMMIGINFLOW","OTH","NBR","A","2003",1337,
"AUT","IMMIGINFLOW","OTH","NBR","A","2004",1286,
"AUT","IMMIGINFLOW","OTH","NBR","A","2005",694,
"AUT","IMMIGINFLOW","OTH","NBR","A","2006",141,
"AUT","IMMIGINFLOW","OTH","NBR","A","2007",135,
"AUT","IMMIGINFLOW","OTH","NBR","A","2008",194,
"AUT","IMMIGINFLOW","OTH","NBR","A","2009",232,
"AUT","IMMIGINFLOW","OTH","NBR","A","2010",215,
"AUT","IMMIGINFLOW","OTH","NBR","A","2011",247,
"AUT","IMMIGINFLOW","OTH","NBR","A","2012",239,
"AUT","IMMIGINFLOW","OTH","NBR","A","2013",288,
"AUT","IMMIGINFLOW","OTH","NBR","A","2014",295,
"AUT","IMMIGINFLOW","OTH","NBR","A","2015",408,
"AUT","IMMIGINFLOW","OTH","NBR","A","2016",410,
"AUT","IMMIGINFLOW","OTH","NBR","A","2017",415,
"AUT","IMMIGINFLOW","OTH","NBR","A","2018",440,
"AUT","IMMIGINFLOW","OTH","NBR","A","2019",447,
"AUT","IMMIGINFLOW","WORK","NBR","A","2003",2166,
