codigo_pais,es_inmigrante,anio,empleados,desempleados,participacion,tasa_participacion
AUS,1,2000,64.4,6.7,69.0,
AUS,1,2001,64.0,7.3,69.0,
AUS,1,2002,64.5,6.8,69.2,
AUS,1,2003,64.9,6.4,69.3,
AUS,1,2004,66.0,5.5,69.9,
AUS,1,2005,67.4,5.3,71.2,
AUS,1,2006,67.9,5.1,71.5,
AUS,1,2007,68.6,4.9,72.1,
AUS,1,2008,69.8,4.6,73.2,
AUS,1,2009,68.3,6.7,73.2,
AUS,1,2010,69.2,5.5,73.3,58.5
AUS,1,2011,70.5,5.2,74.4,64.9
AUS,1,2012,70.0,5.4,74.0,63.4
AUS,1,2013,69.7,5.9,74.1,64.8
AUS,1,2014,69.6,6.1,74.1,64.5
AUS,1,2015,69.9,6.2,74.6,64.1
AUS,1,2016,70.3,6.0,74.7,63.7
AUS,1,2017,70.8,5.9,75.2,64.5
AUS,1,2018,72.0,5.5,76.2,63.9
AUS,1,2019,72.3,5.5,76.5,63.5
AUS,1,2020,71.0,7.1,76.4,64.7
AUS,1,2021,74.2,5.3,78.4,
AUT,1,2000,66.8,8.0,72.7,62.3
AUT,1,2001,66.6,7.5,72.0,62.3
AUT,1,2002,65.9,8.7,72.2,62.6
AUT,1,2003,67.7,8.3,73.8,64.9
AUT,1,2004,61.6,11.0,69.2,60.3
AUT,1,2005,62.2,10.6,69.7,60.4
AUT,1,2006,63.4,9.8,70.2,60.7
AUT,1,2007,65.0,9.0,71.5,62.1
AUT,1,2008,65.1,7.5,70.4,60.4
AUT,1,2009,64.7,9.5,71.5,61.2
AUT,1,2010,66.3,8.2,72.3,62.2
AUT,1,2011,66.7,8.2,72.6,62.8
AUT,1,2012,65.6,8.9,72.0,62.3
AUT,1,2013,65.2,9.9,72.3,62.7
AUT,1,2014,64.9,10.1,72.2,62.8
AUT,1,2015,64.7,10.7,72.4,63.4
AUT,1,2016,64.6,11.4,72.9,64.2
AUT,1,2017,65.6,10.7,73.4,64.6
AUT,1,2018,68.0,9.4,75.1,65.8
AUT,1,2019,68.9,8.3,75.1,65.5
AUT,1,2020,66.1,11.6,74.4,64.8
