country_code,country_name,sector,industria,year,value
ARE,United Arab Emirates,Manufacturing,Defense & Space,2015,378.74
ARE,United Arab Emirates,Information and communication,Computer Hardware,2015,100.97
ARE,United Arab Emirates,Information and communication,Computer Software,2015,1079.36
ARE,United Arab Emirates,Information and communication,Computer Networking,2015,401.46
ARE,United Arab Emirates,Information and communication,Internet,2015,1840.33
ARE,United Arab Emirates,Information and communication,Telecommunications,2015,676.91
ARE,United Arab Emirates,Professional scientific and technical activities,Law Practice,2015,694.5
ARE,United Arab Emirates,Professional scientific and technical activities,Legal Services,2015,661.1
ARE,United Arab Emirates,Professional scientific and technical activities,Management Consulting,2015,982.85
ARE,United Arab Emirates,Professional scientific and technical activities,Biotechnology,2015,1230.17
ARE,United Arab Emirates,Human health and social work activities,Medical Practice,2015,674.12
ARE,United Arab Emirates,Human health and social work activities,Hospital & Health Care,2015,784.47
ARE,United Arab Emirates,Manufacturing,Pharmaceuticals,2015,893.55
ARE,United Arab Emirates,Human health and social work activities,Medical Device,2015,885.0
ARE,United Arab Emirates,Wholesale and retail trade; repair of motor vehicles and motorcycles,Cosmetics,2015,928.04
ARE,United Arab Emirates,Wholesale and retail trade; repair of motor vehicles and motorcycles,Apparel & Fashion,2015,912.57
ARE,United Arab Emirates,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sporting Goods,2015,843.99
ARE,United Arab Emirates,Wholesale and retail trade; repair of motor vehicles and motorcycles,Tobacco,2015,1377.42
ARE,United Arab Emirates,Wholesale and retail trade; repair of motor vehicles and motorcycles,Supermarkets,2015,386.54
ARE,United Arab Emirates,Manufacturing,Food Production,2015,848.27
ARE,United Arab Emirates,Wholesale and retail trade; repair of motor vehicles and motorcycles,Consumer Electronics,2015,645.01
ARE,United Arab Emirates,Wholesale and retail trade; repair of motor vehicles and motorcycles,Consumer Goods,2015,758.67
ARE,United Arab Emirates,Wholesale and retail trade; repair of motor vehicles and motorcycles,Furniture,2015,567.96
ARE,United Arab Emirates,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail,2015,542.11
ARE,United Arab Emirates,"Arts, entertainment and recreation ",Entertainment,2015,781.66
